geoid,state,district,number,number_moe,state_number,state_number_moe,country_number,country_number_moe,ratio_state_number,ratio_state_number_moe,ratio_country_number,ratio_country_number_moe,percentage,percentage_moe,state_percentage,state_percentage_moe,country_percentage,country_percentage_moe,ratio_state_percentage,ratio_state_percentage_moe,ratio_country_percentage,ratio_country_percentage_moe
50000US2605,Michigan,5,43681.0,2597.0,559155.0,8325.0,18496937.0,66959.0,0.07811966270533215,0.01161776675915594,0.002361526127271775,0.0002979046241861284,8.25,0.49,7.23,0.11,7.44,0.03,1.1410788381742738,0.17030738144077393,1.1088709677419355,0.1406652250025744
50000US5508,Wisconsin,8,46325.0,2484.0,336559.0,5863.0,18496937.0,66959.0,0.13764302841403736,0.019562692440600556,0.0025044687128468893,0.00028672114415319576,8.24,0.44,7.49,0.13,7.44,0.03,1.1001335113484647,0.15572577884286204,1.10752688172043,0.1272133066679674
50000US1808,Indiana,8,45631.0,2397.0,381073.0,7461.0,18496937.0,66959.0,0.11974346122658913,0.017275785865139094,0.0024669489872836785,0.0002770424112551803,8.24,0.43,7.54,0.15,7.44,0.03,1.0928381962864722,0.15760235513143797,1.10752688172043,0.12452509091697424
50000US1304,Georgia,4,45706.0,4765.0,643660.0,12512.0,18496937.0,66959.0,0.07100953919771308,0.01757327915183846,0.0024710037126687515,0.0005331175155410886,8.23,0.84,8.3,0.16,7.44,0.03,0.9915662650602409,0.24072815562177258,1.1061827956989247,0.23473109712805335
50000US2104,Kentucky,4,46804.0,2648.0,272899.0,6916.0,18496937.0,66959.0,0.17150667463054098,0.028117393115967608,0.0025303648923062235,0.000304641533259672,8.22,0.46,8.0,0.2,7.44,0.03,1.0275,0.16647904940587865,1.1048387096774195,0.13256805901067156
50000US4001,Oklahoma,1,48891.0,2184.0,275808.0,6177.0,18496937.0,66959.0,0.1772646188652976,0.02378907822427268,0.0026431943840215274,0.0002552873043301075,8.21,0.37,9.36,0.21,7.44,0.03,0.8771367521367522,0.11847816777155387,1.103494623655914,0.10836327767209188
50000US5108,Virginia,8,49881.0,3413.0,671080.0,10775.0,18496937.0,66959.0,0.07432943911307147,0.012561799897358767,0.0026967167591044937,0.0003885634199635819,8.21,0.55,10.44,0.17,7.44,0.03,0.7863984674329503,0.13100940029202118,1.103494623655914,0.15675116118996904
50000US2101,Kentucky,1,44902.0,2917.0,272899.0,6916.0,18496937.0,66959.0,0.16453706316256198,0.029736600709165742,0.002427537056540767,0.00033298332691508324,8.2,0.53,8.0,0.2,7.44,0.03,1.025,0.18386491557223264,1.1021505376344085,0.1513638901083416
50000US2509,Massachusetts,9,48831.0,3062.0,311150.0,6546.0,18496937.0,66959.0,0.15693716856821469,0.02629677930187976,0.002639950603713469,0.0003501997001189096,8.18,0.51,5.73,0.12,7.44,0.03,1.4275741710296683,0.23790849673202616,1.0994623655913978,0.14596577944707304
50000US3902,Ohio,2,45947.0,2499.0,729520.0,11510.0,18496937.0,66959.0,0.06298250904704464,0.008840693633287676,0.0024840328969061203,0.0002881950981205659,8.18,0.43,8.11,0.13,7.44,0.03,1.0086313193588163,0.13841338783852838,1.0994623655913978,0.12446005343912762
50000US0804,Colorado,4,48464.0,3062.0,376108.0,7178.0,18496937.0,66959.0,0.12885660501770768,0.021208724199868023,0.0026201094808291775,0.0003500560483178329,8.17,0.51,8.86,0.17,7.44,0.03,0.9221218961625283,0.15056575256751886,1.0981182795698925,0.14595493986743194
50000US2905,Missouri,5,47697.0,2736.0,420122.0,7436.0,18496937.0,66959.0,0.11353130757256226,0.01704905124346177,0.0025786431558911618,0.00031450628652336334,8.15,0.46,8.97,0.16,7.44,0.03,0.9085841694537347,0.13502032068009942,1.0954301075268817,0.13249218195318385
50000US0104,Alabama,4,42977.0,2986.0,331076.0,8674.0,18496937.0,66959.0,0.12981007381990842,0.02485711448162612,0.002323465771657221,0.0003396906324255839,8.14,0.56,8.83,0.23,7.44,0.03,0.9218573046432617,0.17498331536526515,1.0940860215053763,0.1593634998834745
50000US2902,Missouri,2,48530.0,2819.0,420122.0,7436.0,18496937.0,66959.0,0.11551406496208244,0.017514508488650243,0.002623677639168042,0.0003238069173428897,8.14,0.46,8.97,0.16,7.44,0.03,0.907469342251951,0.1349805371522205,1.0940860215053763,0.13248134237354275
50000US3800,North Dakota,0,46905.0,2607.0,46905.0,2607.0,18496937.0,66959.0,1.0,0.22301063499626325,0.0025358252558247887,0.0003002478423456897,8.13,0.45,8.13,0.45,7.44,0.03,1.0,0.22208260489510487,1.092741935483871,0.12978228704290848
50000US4814,Texas,14,46013.0,3187.0,1460627.0,20030.0,18496937.0,66959.0,0.031502224729516845,0.0052288608737237835,0.0024876010552449847,0.00036261260188502506,8.12,0.55,7.13,0.1,7.44,0.03,1.1388499298737726,0.1862596381050192,1.0913978494623655,0.15665360497319913
50000US1602,Idaho,2,48249.0,2819.0,110599.0,4312.0,18496937.0,66959.0,0.4362516840116095,0.08512323810152418,0.002608485934725301,0.0003236969278167247,8.12,0.47,8.89,0.35,7.44,0.03,0.9133858267716534,0.1779327230146902,1.0913978494623655,0.1351478789652537
50000US5106,Virginia,6,48581.0,3066.0,671080.0,10775.0,18496937.0,66959.0,0.07239226321750016,0.011465155881519296,0.0026264348524298914,0.0003505343543774545,8.09,0.51,10.44,0.17,7.44,0.03,0.774904214559387,0.12297009949093607,1.0873655913978495,0.14586822323030313
50000US2103,Kentucky,3,46640.0,3037.0,272899.0,6916.0,18496937.0,66959.0,0.17090571969849652,0.030939617613554057,0.002521498559464197,0.0003466389092718289,8.09,0.53,8.0,0.2,7.44,0.03,1.01125,0.18317698561601,1.0873655913978495,0.15124465473228949
50000US3905,Ohio,5,45270.0,2604.0,729520.0,11510.0,18496937.0,66959.0,0.06205450159008663,0.00909933525709537,0.0024474322424301925,0.00029928348541891395,8.09,0.46,8.11,0.13,7.44,0.03,0.997533908754624,0.1454576976421637,1.0873655913978495,0.13242714447533724
50000US3622,New York,22,45022.0,2484.0,723582.0,8896.0,18496937.0,66959.0,0.062221006050454546,0.008397050413950974,0.0024340246171568837,0.00028621112154610345,8.07,0.44,4.66,0.06,7.44,0.03,1.7317596566523605,0.23347457627118642,1.0846774193548387,0.1270290338140687
50000US4836,Texas,36,44125.0,2971.0,1460627.0,20030.0,18496937.0,66959.0,0.030209629152411942,0.004897583707756466,0.002385530101551408,0.0003385180732452138,8.07,0.52,7.13,0.1,7.44,0.03,1.1318373071528753,0.17764608898044149,1.0846774193548387,0.14853475982201408
50000US0806,Colorado,6,48534.0,2757.0,376108.0,7178.0,18496937.0,66959.0,0.12904272177140608,0.019593365317086976,0.002623893891188579,0.0003171045825426159,8.04,0.45,8.86,0.17,7.44,0.03,0.9074492099322798,0.1364534788143855,1.0806451612903225,0.12968473082613857
50000US2701,Minnesota,1,41270.0,2066.0,310786.0,6190.0,18496937.0,66959.0,0.13279233942326873,0.018592412072334093,0.0022311802218929547,0.00023954524237075587,7.98,0.4,7.35,0.15,7.44,0.03,1.0857142857142859,0.15322222222222226,1.0725806451612903,0.11617861459332607
50000US3912,Ohio,12,46167.0,3135.0,729520.0,11510.0,18496937.0,66959.0,0.06328407720144753,0.010594258366962508,0.0024959267580356684,0.0003570502546271201,7.94,0.53,8.11,0.13,7.44,0.03,0.9790382244143034,0.1621316641117357,1.0672043010752688,0.15108206103767297
