year,state,dem,rep
1976,ME,49.6,50.4
1976,MI,47.3,52.7
1976,MN,56.6,43.4
1976,MO,51.8,48.2
1976,MS,51.0,49.0
1976,MT,46.2,53.8
1976,NC,55.6,44.4
1976,ND,47.0,53.0
1976,NE,39.4,60.6
1976,NH,44.3,55.7
1976,NJ,48.9,51.1
1976,NM,48.8,51.2
1976,NV,47.7,52.3
1976,NY,52.2,47.8
1976,OH,50.1,49.9
1976,OK,49.4,50.6
1976,OR,49.9,50.1
1976,PA,51.4,48.6
1976,RI,55.7,44.3
1976,SC,56.6,43.4
1976,SD,49.3,50.7
1976,TN,56.6,43.4
1976,TX,51.6,48.4
1976,US,51.1,48.9
1976,UT,35.0,65.0
1976,VA,49.3,50.7
1976,VT,44.3,55.7
1976,WA,48.0,52.0
1976,WI,50.9,49.1
1976,WV,58.1,41.9
1976,WY,40.2,59.8
1972,AK,37.3,62.7
1972,AL,26.1,73.9
1972,AR,30.9,69.1
1972,AZ,33.0,67.0
1972,CA,43.0,57.0
1972,CO,35.6,64.4
1972,CT,40.7,59.3
1972,DC,78.4,21.6
1972,DE,39.7,60.3
1972,FL,27.9,72.1
1972,GA,24.7,75.3
1972,HI,37.5,62.5
1972,IA,41.3,58.7
1972,ID,28.8,71.2
1972,IL,40.7,59.3
1972,IN,33.5,66.5
1972,KS,30.4,69.6
1972,KY,35.4,64.6
1972,LA,30.3,69.7
1972,MA,54.5,45.5
1972,MD,37.9,62.1
1972,ME,38.5,61.5
1972,MI,42.7,57.3
1972,MN,47.2,52.8
1972,MO,37.7,62.3
1972,MS,20.1,79.9
1972,MT,39.5,60.5
1972,NC,29.4,70.6
1972,ND,36.6,63.4
1972,NE,29.5,70.5
1972,NH,35.3,64.7
1972,NJ,37.4,62.6
1972,NM,37.5,62.5
1972,NV,36.3,63.7
1972,NY,41.3,58.7
1972,OH,39.0,61.0
1972,OK,24.6,75.4
1972,OR,44.7,55.3
1972,PA,39.8,60.2
1972,RI,46.9,53.1
1972,SC,28.3,71.7
1972,SD,45.7,54.3
1972,TN,30.5,69.5
1972,TX,33.4,66.6
1972,US,38.2,61.8
1972,UT,28.1,71.9
1972,VA,30.7,69.3
1972,VT,36.8,63.2
1972,WA,40.4,59.6
1972,WI,45.0,55.0
1972,WV,36.4,63.6
1972,WY,30.6,69.4
1964,AK,65.9,34.1
1964,AL,30.5,69.5
