Id,State,Year,Ev dem,Ev gop,Dem votes,Gop votes,Third votes,Other votes,Margin votes,Dem pct,Gop pct,Third pct,Other pct,Margin pct,Winner
202,AK,1996,0,3,80380,122746,26333,12161,42366,0.27,0.8,0.9,5.03,0.53,REP
201,AL,1996,0,9,662165,769044,92149,10991,106879,0.16,0.12,6.01,0.72,6.97,REP
204,AR,1996,6,0,475171,325416,69884,13791,149755,0.74,0.8,7.9,1.56,0.94,DEM
203,AZ,1996,8,0,653288,622073,112072,16972,31215,0.52,0.29,7.98,1.21,2.22,DEM
205,CA,1996,54,0,5119835,3828380,697847,373422,1291455,0.1,0.21,6.96,3.73,0.89,DEM
206,CO,1996,0,8,671152,691848,99629,48075,20696,0.43,0.8,6.59,3.18,1.37,REP
207,CT,1996,8,0,735740,483109,139523,34242,252631,0.83,0.69,0.02,2.46,0.14,DEM
506,DC,1996,3,0,158220,17339,3611,6556,140881,0.85,0.09,0.02,0.04,0.76,DEM
208,DE,1996,3,0,140355,99062,28719,2948,41293,0.78,0.54,0.59,1.09,0.23,DEM
209,FL,1996,25,0,2546870,2244536,483870,28518,302334,0.02,0.32,9.12,0.54,5.7,DEM
210,GA,1996,0,13,1053849,1080843,146337,18042,26994,0.84,0.01,6.37,0.78,1.17,REP
211,HI,1996,4,0,205012,113943,27358,13807,91069,0.93,0.64,7.6,3.83,0.29,DEM
215,IA,1996,7,0,620258,492644,105159,16014,127614,0.26,0.92,8.52,1.3,0.34,DEM
212,ID,1996,0,4,165443,256595,62518,7163,91152,0.65,0.18,0.71,1.46,0.54,REP
213,IL,1996,22,0,2341744,1587021,346408,36218,754723,0.32,0.81,8.03,0.84,0.51,DEM
214,IN,1996,0,12,887424,1006693,224299,17426,119269,0.55,0.13,0.5,0.82,5.58,REP
216,KS,1996,0,6,387659,583245,92639,10757,195586,0.08,0.29,8.62,1,0.21,REP
217,KY,1996,8,0,636614,623283,120396,8415,13331,0.84,0.88,8.67,0.61,0.96,DEM
218,LA,1996,9,0,927837,712586,123293,20243,215251,0.01,0.94,6.91,1.13,0.07,DEM
221,MA,1996,12,0,1571763,718107,227217,39698,853656,0.47,0.09,8.89,1.55,0.39,DEM
220,MD,1996,10,0,966207,681530,115812,17321,284677,0.25,0.27,6.5,0.97,0.99,DEM
219,ME,1996,4,0,312788,186378,85970,20761,126410,0.62,0.76,0.19,3.43,0.86,DEM
222,MI,1996,18,0,1989653,1481212,336670,41309,508441,0.69,0.48,8.75,1.07,0.21,DEM
223,MN,1996,10,0,1120438,766476,257704,48022,353962,0.1,0.96,0.75,2.19,0.14,DEM
